股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率,市净率,总市值,流通市值,更新时间
603238,诺邦股份,19.81,9.99,1.8,153061,287702855.0,11.72,19.81,17.7,17.85,18.01,0.97,8.62,28.89,2.55,3516453290,3516453290,2025-06-12 22:15:34
603015,弘讯科技,13.32,9.99,1.21,455714,596882625.0,10.4,13.32,12.06,12.12,12.11,3.52,11.27,57.91,3.97,5384197080,5384197080,2025-06-12 22:15:34
605151,西上海,21.25,9.99,1.93,61589,129570170.0,3.88,21.25,20.5,20.9,19.32,1.42,4.58,-93.81,2.12,2874629875,2859277218,2025-06-12 22:15:34
600366,宁波韵升,10.57,9.99,0.96,1982245,2027999490.0,7.91,10.57,9.81,9.94,9.61,2.74,18.65,78.03,1.96,11616863909,11236354321,2025-06-12 22:15:34
002449,国星光电,9.91,9.99,0.9,712873,700033427.61,6.44,9.91,9.33,9.33,9.01,4.52,11.53,91.77,1.61,6129108745,6129108745,2025-06-12 22:15:34
002887,绿茵生态,8.81,9.99,0.8,281198,242438561.72,10.36,8.81,7.98,7.99,8.01,3.39,14.45,25.23,1.2,2695742827,1714429172,2025-06-12 22:15:34
603630,拉芳家化,25.56,9.98,2.32,205018,499399795.0,10.59,25.56,23.1,23.15,23.24,1.44,9.1,110.28,2.98,5756229065,5756229065,2025-06-12 22:15:34
002558,巨人网络,18.73,9.98,1.7,1067986,1964876621.44,9.86,18.73,17.05,17.3,17.03,2.01,5.52,26.04,2.84,36237878944,36237878944,2025-06-12 22:15:34
000403,派林生物,18.62,9.98,1.69,754021,1375811945.82,8.98,18.62,17.1,17.1,16.93,2.72,8.02,49.66,2.28,17696399327,17497558898,2025-06-12 22:15:34
600658,电子城,5.07,9.98,0.46,712956,350365954.0,10.85,5.07,4.57,4.58,4.61,2.2,6.37,-21.16,0.99,5671226178,5671226178,2025-06-12 22:15:34
603215,比依股份,18.63,9.98,1.69,66444,123785172.0,0.0,18.63,18.63,18.63,16.94,1.31,3.55,58.49,3.09,3511911473,3488064719,2025-06-12 22:15:34
002727,一心堂,17.75,9.98,1.61,174336,301559587.83,9.6,17.75,16.2,16.2,16.14,0.8,4.39,16.23,1.42,10394473219,7052295686,2025-06-12 22:15:34
002348,高乐股份,4.3,9.97,0.39,1515955,643980301.6,9.72,4.3,3.92,3.92,3.91,4.85,16.78,-68.58,9.2,4072960000,3885188671,2025-06-12 22:15:34
603982,泉峰汽车,10.37,9.97,0.94,448438,448343462.0,8.8,10.37,9.54,9.8,9.43,7.67,16.47,-7.8,1.72,2824324865,2824324865,2025-06-12 22:15:34
603106,恒银科技,10.37,9.97,0.94,699192,708678924.0,11.13,10.37,9.32,9.35,9.43,1.36,13.43,252.35,4.17,5397792400,5397792400,2025-06-12 22:15:34
002376,新北洋,8.62,9.95,0.78,213407,183957247.76,0.0,8.62,8.62,8.62,7.84,0.36,2.71,354.76,1.87,6987049103,6787944464,2025-06-12 22:15:34
603818,曲美家居,4.65,9.93,0.42,1386064,622415959.0,11.82,4.65,4.15,4.15,4.23,1.4,20.19,-188.39,1.46,3203207626,3192428926,2025-06-12 22:15:34
