日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票代码,股票名称
2024-06-12,30.27,31.15,31.3,30.25,8638.0,26688232.0,3.47,2.91,0.88,5.08,300949,奥雅股份
2024-06-13,31.15,30.85,31.55,30.64,6899.0,21397481.0,2.92,-0.96,-0.3,4.06,300949,奥雅股份
2024-06-14,30.61,31.03,31.16,30.22,7549.0,23251181.0,3.05,0.58,0.18,4.44,300949,奥雅股份
2024-06-17,31.0,30.45,31.0,30.28,6597.0,20187173.0,2.32,-1.87,-0.58,3.88,300949,奥雅股份
2024-06-18,30.53,31.25,31.37,30.21,7405.0,22986059.0,3.81,2.63,0.8,4.35,300949,奥雅股份
2024-06-19,31.15,31.68,32.18,31.03,10144.0,32147684.0,3.68,1.38,0.43,5.97,300949,奥雅股份
2024-06-20,31.41,30.44,31.65,30.2,8371.0,25815555.0,4.58,-3.91,-1.24,4.92,300949,奥雅股份
2024-06-21,30.44,30.61,30.92,29.53,6105.0,18617901.0,4.57,0.56,0.17,3.59,300949,奥雅股份
2024-06-24,30.16,28.93,30.77,28.64,7732.0,22640133.0,6.96,-5.49,-1.68,4.55,300949,奥雅股份
2024-06-25,29.19,28.82,30.29,28.48,7253.0,21167163.0,6.26,-0.38,-0.11,4.27,300949,奥雅股份
2024-06-26,29.4,30.35,30.47,28.38,10271.0,30439153.0,7.25,5.31,1.53,6.04,300949,奥雅股份
2024-06-27,30.99,30.6,33.99,30.44,25291.0,79897287.0,11.7,0.82,0.25,14.87,300949,奥雅股份
2024-06-28,29.86,29.81,30.71,29.24,17445.0,52527775.0,4.8,-2.58,-0.79,10.26,300949,奥雅股份
2024-07-01,29.95,30.54,30.96,29.8,13631.0,41407421.0,3.89,2.45,0.73,8.02,300949,奥雅股份
2024-07-02,30.51,30.68,31.25,29.95,11914.0,36656315.0,4.26,0.46,0.14,7.01,300949,奥雅股份
2024-07-03,30.68,29.8,30.68,29.63,8517.0,25573675.0,3.42,-2.87,-0.88,5.01,300949,奥雅股份
2024-07-04,29.7,27.98,30.16,27.93,10102.0,28883011.0,7.48,-6.11,-1.82,5.94,300949,奥雅股份
2024-07-05,28.11,28.79,29.21,27.32,11167.0,31820042.0,6.75,2.89,0.81,6.57,300949,奥雅股份
2024-07-08,28.58,27.92,28.84,27.63,8581.0,24076466.0,4.2,-3.02,-0.87,5.05,300949,奥雅股份
2024-07-09,28.0,28.19,28.2,27.03,7173.0,19860718.0,4.19,0.97,0.27,4.22,300949,奥雅股份
2024-07-10,28.29,28.05,28.89,28.0,6765.0,19182358.0,3.16,-0.5,-0.14,3.98,300949,奥雅股份
2024-07-11,28.7,29.42,29.55,28.35,9301.0,27043190.0,4.28,4.88,1.37,5.47,300949,奥雅股份
2024-07-12,29.66,29.95,30.68,29.45,11363.0,34207396.0,4.18,1.8,0.53,6.68,300949,奥雅股份
2024-07-15,29.11,29.21,29.76,28.9,8287.0,24229735.0,2.87,-2.47,-0.74,4.87,300949,奥雅股份
2024-07-16,29.11,29.03,29.35,28.53,7254.0,20960136.0,2.81,-0.62,-0.18,4.27,300949,奥雅股份
2024-07-17,29.37,28.45,29.37,28.4,5899.0,16927270.0,3.34,-2.0,-0.58,3.47,300949,奥雅股份
