日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票代码,股票名称
2024-06-12,3.98,4.13,4.14,3.96,36331.0,14851694.0,4.51,3.51,0.14,1.65,300640,德艺文创
2024-06-13,4.14,4.08,4.17,4.04,34563.0,14117200.0,3.15,-1.21,-0.05,1.57,300640,德艺文创
2024-06-14,4.1,4.1,4.13,3.98,28857.0,11744901.0,3.68,0.49,0.02,1.31,300640,德艺文创
2024-06-17,4.07,3.98,4.1,3.95,33237.0,13292453.0,3.66,-2.93,-0.12,1.51,300640,德艺文创
2024-06-18,3.96,4.06,4.08,3.95,43768.0,17608285.0,3.27,2.01,0.08,1.98,300640,德艺文创
2024-06-19,4.07,4.06,4.12,4.03,35616.0,14501817.0,2.22,0.0,0.0,1.61,300640,德艺文创
2024-06-20,4.08,3.93,4.09,3.9,33877.0,13468832.0,4.68,-3.2,-0.13,1.54,300640,德艺文创
2024-06-21,3.93,3.95,4.02,3.9,28325.0,11212377.0,3.05,0.51,0.02,1.28,300640,德艺文创
2024-06-24,3.92,3.71,3.92,3.7,47802.0,17971799.0,5.57,-6.08,-0.24,2.17,300640,德艺文创
2024-06-25,3.68,3.81,3.84,3.68,36805.0,13911544.0,4.31,2.7,0.1,1.67,300640,德艺文创
2024-06-26,3.8,3.96,3.97,3.73,38803.0,15002728.0,6.3,3.94,0.15,1.76,300640,德艺文创
2024-06-27,3.93,3.92,4.03,3.91,33444.0,13246388.0,3.03,-1.01,-0.04,1.52,300640,德艺文创
2024-06-28,3.91,3.94,4.03,3.87,41277.0,16395395.0,4.08,0.51,0.02,1.87,300640,德艺文创
2024-07-01,3.93,3.91,3.97,3.81,45807.0,17770213.0,4.06,-0.76,-0.03,2.06,300640,德艺文创
2024-07-02,3.91,3.99,4.03,3.89,37407.0,14924137.0,3.58,2.05,0.08,1.68,300640,德艺文创
2024-07-03,3.99,4.02,4.09,3.94,34453.0,13866226.0,3.76,0.75,0.03,1.55,300640,德艺文创
2024-07-04,4.02,3.84,4.04,3.79,45383.0,17562762.0,6.22,-4.48,-0.18,2.04,300640,德艺文创
2024-07-05,3.84,3.92,3.93,3.74,30960.0,11970313.0,4.95,2.08,0.08,1.39,300640,德艺文创
2024-07-08,3.89,3.77,3.92,3.74,33918.0,12841415.0,4.59,-3.83,-0.15,1.53,300640,德艺文创
2024-07-09,3.78,3.82,3.84,3.63,43671.0,16395704.0,5.57,1.33,0.05,1.97,300640,德艺文创
2024-07-10,3.79,3.72,3.81,3.67,32296.0,12089185.0,3.66,-2.62,-0.1,1.45,300640,德艺文创
2024-07-11,3.78,3.88,3.89,3.78,43808.0,16903893.0,2.96,4.3,0.16,1.97,300640,德艺文创
